"FrameId","VesicleId","MovieName","IntCh0","IntCh1","xCoord","yCoord","radius","bg0","bg1","Net0","Net1","Norm0","Norm1","rad_mean","rad_sd","rad_cv"
0,981,"2ch_IP6_001_pos001.tif",177.99,4602.73,1124,825,98.45,138,157,39.99,4445.73,1,1,98.9029411764706,0.622110969862713,0.00629011597089608
1,981,"2ch_IP6_001_pos001.tif",180.31,5063.43,1124,824,97.9,139,173,41.31,4890.43,1.03300825206302,1.10002856673707,98.9029411764706,0.622110969862713,0.00629011597089608
2,981,"2ch_IP6_001_pos001.tif",183.06,4760.69,1123,823,98.45,142,165,41.06,4595.69,1.02675668917229,1.03373124323789,98.9029411764706,0.622110969862713,0.00629011597089608
3,981,"2ch_IP6_001_pos001.tif",185.63,4349.01,1121,824,99.55,142,148,43.63,4201.01,1.09102275568892,0.944953922078039,98.9029411764706,0.622110969862713,0.00629011597089608
4,981,"2ch_IP6_001_pos001.tif",185,4324.95,1123,823,99.55,138,149,47,4175.95,1.17529382345586,0.939317052542552,98.9029411764706,0.622110969862713,0.00629011597089608
5,981,"2ch_IP6_001_pos001.tif",187.55,4256.78,1123,824,99.55,138,162,49.55,4094.78,1.23905976494124,0.921059083660051,98.9029411764706,0.622110969862713,0.00629011597089608
6,981,"2ch_IP6_001_pos001.tif",190.28,4628.36,1123,822,98.45,142,157,48.28,4471.36,1.20730182545636,1.0057650824499,98.9029411764706,0.622110969862713,0.00629011597089608
7,981,"2ch_IP6_001_pos001.tif",191.49,4726.2,1122,824,98.45,145,149,46.49,4577.2,1.16254063515879,1.02957219624224,98.9029411764706,0.622110969862713,0.00629011597089608
8,981,"2ch_IP6_001_pos001.tif",192.87,4457.24,1122,823,99,147,151,45.87,4306.24,1.1470367591898,0.968623825558457,98.9029411764706,0.622110969862713,0.00629011597089608
9,981,"2ch_IP6_001_pos001.tif",196.97,4518.12,1123,822,99,148,157,48.97,4361.12,1.22455613903476,0.980968254932261,98.9029411764706,0.622110969862713,0.00629011597089608
10,981,"2ch_IP6_001_pos001.tif",198.78,4502.9,1122,822,99.55,148,146,50.78,4356.9,1.26981745436359,0.980019029495718,98.9029411764706,0.622110969862713,0.00629011597089608
