"FrameId","VesicleId","MovieName","IntCh0","IntCh1","xCoord","yCoord","radius","bg0","bg1","Net0","Net1","Norm0","Norm1","rad_mean","rad_sd","rad_cv"
0,1501,"2ch_WT_001_pos001.tif",184.9,5311.77,1145,549,95.15,108,134,76.9,5177.77,1,1,96.1205882352941,1.10906193801471,0.0115382350272329
1,1501,"2ch_WT_001_pos001.tif",187.84,5454.37,1145,549,95.7,108,132,79.84,5322.37,1.03823146944083,1.02792708057716,96.1205882352941,1.10906193801471,0.0115382350272329
2,1501,"2ch_WT_001_pos001.tif",185.26,5057.3,1144,548,96.25,108,131,77.26,4926.3,1.00468140442133,0.951432759662944,96.1205882352941,1.10906193801471,0.0115382350272329
3,1501,"2ch_WT_001_pos001.tif",193.82,5330.01,1144,547,96.25,109,134,84.82,5196.01,1.10299089726918,1.0035227520728,96.1205882352941,1.10906193801471,0.0115382350272329
4,1501,"2ch_WT_001_pos001.tif",191.78,5196.43,1144,546,96.8,109,139,82.78,5057.43,1.07646293888166,0.976758334186339,96.1205882352941,1.10906193801471,0.0115382350272329
5,1501,"2ch_WT_001_pos001.tif",187.2,4876.87,1144,545,97.35,110,141,77.2,4735.87,1.00390117035111,0.91465437823619,96.1205882352941,1.10906193801471,0.0115382350272329
6,1501,"2ch_WT_001_pos001.tif",190.65,5018.66,1144,544,97.35,110,147,80.65,4871.66,1.04876462938882,0.940879954111519,96.1205882352941,1.10906193801471,0.0115382350272329
7,1501,"2ch_WT_001_pos001.tif",216.55,5799.96,1145,543,95.15,110,141,106.55,5658.96,1.38556566970091,1.0929338305873,96.1205882352941,1.10906193801471,0.0115382350272329
8,1501,"2ch_WT_001_pos001.tif",217.41,6412.35,1142,541,92.95,111,138,106.41,6274.35,1.38374512353706,1.21178615504358,96.1205882352941,1.10906193801471,0.0115382350272329
9,1501,"2ch_WT_001_pos001.tif",209.61,5664.29,1143,541,95.15,111,136,98.61,5528.29,1.28231469440832,1.06769709739907,96.1205882352941,1.10906193801471,0.0115382350272329
10,1501,"2ch_WT_001_pos001.tif",214.36,5820.15,1144,535,95.7,113,137,101.36,5683.15,1.31807542262679,1.09760572601718,96.1205882352941,1.10906193801471,0.0115382350272329
11,1501,"2ch_WT_001_pos001.tif",209.48,5481.13,1144,536,96.25,114,136,95.48,5345.13,1.24161248374512,1.03232279533467,96.1205882352941,1.10906193801471,0.0115382350272329
12,1501,"2ch_WT_001_pos001.tif",225.86,5533.27,1146,535,96.25,115,135.7,110.86,5397.57,1.44161248374512,1.04245070754398,96.1205882352941,1.10906193801471,0.0115382350272329
13,1501,"2ch_WT_001_pos001.tif",230.33,5530.08,1148,535,96.8,115,136,115.33,5394.08,1.49973992197659,1.04177667219672,96.1205882352941,1.10906193801471,0.0115382350272329
14,1501,"2ch_WT_001_pos001.tif",230.06,5645.8,1146,534,96.8,115,136,115.06,5509.8,1.4962288686606,1.06412606199194,96.1205882352941,1.10906193801471,0.0115382350272329
