"Reference","Gene.Symbol","Annotation","log2FC_232KO_D13-EG_D13","log2FC_232res_D13-EG_D13","log2FC_234KO_D13-EG_D13","log2FC_234res_D13-EG_D13","log2FC_232res_D13-232KO_D13","log2FC_234KO_D13-232KO_D13","log2FC_234res_D13-232KO_D13","log2FC_234KO_D13-232res_D13","log2FC_234res_D13-232res_D13","log2FC_234res_D13-234KO_D13","p.val_232KO_D13-EG_D13","p.val_232res_D13-EG_D13","p.val_234KO_D13-EG_D13","p.val_234res_D13-EG_D13","p.val_232res_D13-232KO_D13","p.val_234KO_D13-232KO_D13","p.val_234res_D13-232KO_D13","p.val_234KO_D13-232res_D13","p.val_234res_D13-232res_D13","p.val_234res_D13-234KO_D13","q.val_232KO_D13-EG_D13","q.val_232res_D13-EG_D13","q.val_234KO_D13-EG_D13","q.val_234res_D13-EG_D13","q.val_232res_D13-232KO_D13","q.val_234KO_D13-232KO_D13","q.val_234res_D13-232KO_D13","q.val_234KO_D13-232res_D13","q.val_234res_D13-232res_D13","q.val_234res_D13-234KO_D13","sig_232KO_D13-EG_D13","sig_232res_D13-EG_D13","sig_234KO_D13-EG_D13","sig_234res_D13-EG_D13","sig_232res_D13-232KO_D13","sig_234KO_D13-232KO_D13","sig_234res_D13-232KO_D13","sig_234KO_D13-232res_D13","sig_234res_D13-232res_D13","sig_234res_D13-234KO_D13","p.val_anova","q.val_anova","sig_anova","232KO_D13","232res_D13","234KO_D13","234res_D13","EG_D13","EG_D13_1","EG_D13_2","EG_D13_3","EG_D13_4","232KO_D13_1","232KO_D13_2","232KO_D13_3","232KO_D13_4","232res_D13_1","232res_D13_2","232res_D13_3","232res_D13_4","234KO_D13_1","234KO_D13_2","234KO_D13_3","234res_D13_1","234res_D13_2","234res_D13_3","cluster"
"sp|A0A6I8PU40|TUG1_HUMAN","TUG1","Taurine up-regulated 1 protein OS=Homo sapiens OX=9606 GN=TUG1 PE=1 SV=2",-0.30405088467462,-0.379302784912186,-0.895351704515993,-0.912927738316739,-0.0752519002375664,-0.591300819841374,-0.60887685364212,-0.516048919603807,-0.533624953404553,-0.0175760338007459,0.0141153491661512,0.00344581283028194,1.52329274823506e-06,1.19898969898119e-06,0.503445465434852,0.000152787257993381,0.000114314630030117,0.000543798157658556,0.000402795707373057,0.891573353465339,0.0383670750563418,0.0101492712373151,2.48821331882032e-05,2.15722584269732e-05,0.662307068094935,0.000760112069128052,0.000582026700389326,0.00258566286534068,0.00199869756056052,0.949428889799062,"n.s.","n.s.","down","down","n.s.","down","down","n.s.","n.s.","n.s.",1.79630327257248e-05,8.82906544271501e-05,"sig",14.7675563441098,14.6923044438722,14.1762555242684,14.1586794904676,15.0716072287844,15.2431549210363,15.0574913796035,14.9694824370672,15.0163001774305,14.9065748035417,14.6800897917548,14.8901755941395,14.5933851870031,14.8244572843174,14.4603312059952,14.7626687392385,14.7217605459377,13.8697475304231,14.3370516530463,14.3219673893358,14.1709414637321,14.2378444405535,14.0672525671174,1
"sp|A0FGR8|ESYT2_HUMAN","ESYT2","Extended synaptotagmin-2 OS=Homo sapiens OX=9606 GN=ESYT2 PE=1 SV=1",-0.0058029537391082,-0.133064474433756,0.0871495911961393,0.0582909344797683,-0.127261520694647,0.0929525449352475,0.0640938882188765,0.220214065629895,0.191355408913524,-0.028858656716371,0.937336247897736,0.0783090842449383,0.278613450343124,0.466469954705568,0.0915852675811443,0.248424508625423,0.423674603941078,0.00880131089152,0.0212109944634187,0.735124201848656,0.959172570472621,0.129094058650204,0.414278103684812,0.577980719182921,0.246149889950311,0.361544831236777,0.55690437154168,0.0239420881038107,0.0522256439998013,0.852756859435714,"n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",0.100331051614553,0.12212369188062,"n.s.",14.5321991987819,14.4049376780873,14.6251517437172,14.5962930870008,14.5380021525211,14.4595778900488,14.56609666761,14.589249625016,14.5370844274095,14.5067250446128,14.4586229801902,14.5982591546525,14.5651896156723,14.4698903373362,14.4244579829688,14.3033989558667,14.4220034361776,14.8195114351105,14.4464321171348,14.6095116789063,14.476285876843,14.7273368824075,14.5852565017521,0
"sp|A0MZ66|SHOT1_HUMAN","SHTN1","Shootin-1 OS=Homo sapiens OX=9606 GN=SHTN1 PE=1 SV=4",0.37713846783376,0.431231516952249,0.255959624361426,0.719308202513457,0.0540930491184892,-0.121178843472333,0.342169734679697,-0.175271892590823,0.288076685561208,0.46334857815203,0.0155222447244307,0.00698701029840815,0.107393272673884,0.000217585270351224,0.701638379911929,0.43054454378551,0.0368614098298657,0.259464190420277,0.0730224804128027,0.0108919174485565,0.0405930218096475,0.01763096458341,0.210478137888218,0.00143889722845292,0.8116808604075,0.548833000423775,0.0806372539497442,0.341858925698777,0.138198246921598,0.151608463840392,"n.s.","n.s.","n.s.","up","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",0.00834409959453638,0.0150319865513556,"sig",15.8115655936579,15.8656586427764,15.6903867501856,16.1537353283376,15.4344271258241,15.4631823484777,15.4367039561777,15.4856173186813,15.3522048799598,15.7682138391253,15.9807969898109,15.7248304527304,15.7724210929651,15.9835469807715,15.8638641955931,15.7517337539513,15.8634896407897,15.5296376010202,15.7945627499493,15.7469598995872,15.9088315322461,16.7009755346451,15.8513989181216,2
"sp|A1A5C7|S22AN_HUMAN","SLC22A23","Solute carrier family 22 member 23 OS=Homo sapiens OX=9606 GN=SLC22A23 PE=1 SV=2",0.503693102838885,0.483977095611041,-0.259998423658059,-0.625525328459692,-0.0197160072278447,-0.763691526496944,-1.12921843129858,-0.7439755192691,-1.10950242407073,-0.365526904801632,0.000482445450434444,0.00068540890666742,0.0519545396139175,0.000129342945743409,0.865230649666062,1.56808425690936e-05,1.31818214202061e-07,2.09733987676985e-05,1.65928060345263e-07,0.014041840908164,0.00257006434398102,0.00311319940238939,0.123008964847218,0.000926331636320016,0.921272404061019,0.000107829220216157,2.04971385326808e-06,0.000189529247502867,3.69033654954815e-06,0.1756247638224,"n.s.","n.s.","n.s.","down","n.s.","down","down","down","down","n.s.",2.92124348679943e-06,1.99098566725998e-05,"sig",13.6880211617638,13.6683051545359,12.9243296352668,12.5588027304652,13.1843280589249,13.3570274061857,13.1857779671426,13.0389110747865,13.1555957875847,13.7502427507208,13.5503367085062,13.5874912617669,13.8640139260611,13.6356380189929,13.8286047777216,13.6568011112953,13.5521767101339,12.8474388467127,13.1961699468386,12.7293801122492,12.8005126778846,12.5305423448763,12.3453531686347,1
"sp|A2RRP1|NBAS_HUMAN","NBAS","NBAS subunit of NRZ tethering complex OS=Homo sapiens OX=9606 GN=NBAS PE=1 SV=2",-0.247094553636043,0.108388051917468,1.11443394312925,1.11720316430053,0.355482605553511,1.36152849676529,1.36429771793657,1.00604589121178,1.00881511238306,0.00276922117127953,0.0348645001273767,0.325687690707143,6.40906609020404e-08,6.20092677278501e-08,0.00445146473794211,4.19225221115053e-09,4.07544011291773e-09,2.45107628171851e-07,2.36556900641859e-07,0.982366006191922,0.0750237999351773,0.4210763701577,2.25756083095759e-06,1.91121421604052e-06,0.037479161647259,1.29211202079389e-07,1.27894720634473e-07,5.42379187467454e-06,4.88635098979455e-06,0.989821206472421,"n.s.","n.s.","up","up","n.s.","up","up","up","up","n.s.",2.26662740909919e-08,4.6573796525062e-07,"sig",13.944172282925,14.2996548884785,15.3057007796902,15.3084700008615,14.191266836561,14.1038771610038,14.2313102538731,14.04578522374,14.3840947076269,14.0513284021309,13.7974123193965,13.9782664564674,13.9496819537051,14.3462510487279,14.1820098053755,14.4022021169865,14.2681565828239,15.0474792832787,15.4890691471289,15.380553908663,15.1367921710892,15.4778913613818,15.3107264701135,2
"sp|A2RU67|F234B_HUMAN","FAM234B","Protein FAM234B OS=Homo sapiens OX=9606 GN=FAM234B PE=1 SV=1",0.180127593692766,0.0880533727074136,0.534310894112437,0.509424430539816,-0.092074220985352,0.354183300419671,0.329296836847051,0.446257521405024,0.421371057832403,-0.024886463572621,0.0500704821525627,0.314648524115383,2.97326438629971e-05,4.9516158801785e-05,0.293804822316596,0.00145132979874296,0.00254785728391911,0.000188640230311118,0.000324494174482185,0.802527360358455,0.100025060411254,0.41204443784724,0.000278905126671375,0.000421009310797443,0.471727556575298,0.00518632553339618,0.0083130466390253,0.00106402953436925,0.00170755166206174,0.902974070390282,"n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",0.000128468112529113,0.000459080667133019,"sig",15.2349698209514,15.1428955999661,15.5891531213711,15.5642666577985,15.0548422272587,15.1555096735083,14.9875643285666,15.0909514524663,14.9853434544934,15.2282384810041,15.0477493908544,15.3052521550139,15.3586392569332,15.1101962791549,14.938664084723,15.3364494147191,15.1862726212672,15.5425411092619,15.6753828762051,15.5495353786463,15.652171778546,15.5907075180556,15.4499206767938,2
"sp|A4D1U4|DEN11_HUMAN","DENND11","DENN domain-containing protein 11 OS=Homo sapiens OX=9606 GN=DENND11 PE=1 SV=1",0.43557092123283,0.286893048718255,0.445423020551363,0.493234522950434,-0.148677872514575,0.00985209931853317,0.0576636017176041,0.158529971833108,0.206341474232179,0.0478115023990709,0.00143496906383629,0.0217624186955371,0.00219885966901368,0.000975197977310219,0.205114382353018,0.936344638932164,0.641361225966042,0.210684732699478,0.109249929385084,0.717508124107956,0.00628618427457216,0.0442425614469929,0.00921172764251847,0.00479541797389583,0.376343497393327,0.957991017662664,0.741453098471124,0.288604641777221,0.191242776996607,0.846604055783567,"n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",0.000147160035837988,0.000513444855610777,"sig",14.4894813910805,14.3408035185663,14.4993334903994,14.5471449927985,14.053910469848,14.2777626093262,14.0089532265044,13.9403253148038,13.9886007287575,14.4985688748636,14.4483282556868,14.4925272514982,14.5185011822733,14.422323876419,14.2593563367903,14.3272722093854,14.3542616516703,14.4136212351343,14.5857085696108,14.4986706664531,14.6667681024319,14.5963784222412,14.3782884537224,2
"sp|A5YKK6|CNOT1_HUMAN","CNOT1","CCR4-NOT transcription complex subunit 1 OS=Homo sapiens OX=9606 GN=CNOT1 PE=1 SV=2",-0.115627959404641,-0.0519860109158574,0.00442455769975815,0.0378890333798902,0.0636419484887838,0.120052517104399,0.153516992784531,0.0564105686156156,0.0898750442957476,0.0334644756801321,0.201012188106944,0.556817398224699,0.962858778013824,0.690834051559731,0.473206092785667,0.218099612424024,0.120869437355083,0.555018441196607,0.351233464391401,0.742256348652767,0.302746105298941,0.641995209977175,0.977525532468294,0.765818608215861,0.635606004784483,0.327084759205659,0.215740071225308,0.633991945403933,0.475473693756516,0.857171478204736,"n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",0.470345720324224,0.48875178403348,"n.s.",14.3189010260857,14.3825429745747,14.4389535431903,14.4724180188704,14.4345289854905,14.5195809153383,14.4202398876187,14.3991892289435,14.3991059100616,14.3256523640305,14.3474672656104,14.3335537270748,14.2689307476272,14.3293684843357,14.3142169312635,14.4946848970046,14.3919015856948,14.1599165190775,14.5692554915132,14.5876886189801,14.332464717626,14.5516744932599,14.5331148457253,0
"sp|A6NHL2|TBAL3_HUMAN","TUBAL3","Tubulin alpha chain-like 3 OS=Homo sapiens OX=9606 GN=TUBAL3 PE=1 SV=2",-0.241326325604026,-0.221936035865524,-0.691746439199324,-0.49114610981285,0.0193902897385021,-0.450420113595297,-0.249819784208823,-0.469810403333799,-0.269210073947325,0.200600329386474,0.0207464113317123,0.0312730137971119,4.97432004127082e-06,0.000196760138933428,0.838659938915662,0.000440809363780514,0.0256840588367493,0.000299607986860064,0.0175080724677366,0.0828528294797517,0.0502220279923359,0.059974690904239,6.40007524136757e-05,0.00132834046701096,0.901886015307434,0.00184668255699044,0.0598254865752081,0.00157659568695265,0.0445050560814629,0.375757611189243,"n.s.","n.s.","down","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.",0.000197627746561264,0.000658504808040042,"sig",17.1284156797442,17.1478059694828,16.677995566149,16.8785958955354,17.3697420053483,17.5281372846602,17.4702113116754,17.2039514653375,17.27666795972,17.0440167001124,17.2113536403323,17.1866483571646,17.0716440213677,17.1275960351178,17.0198095325094,17.2347526995599,17.2090656107438,16.47238144882,16.7490293041735,16.8125759454533,16.6995987664802,16.8852128363475,17.0509760837785,1
"sp|A7KAX9|RHG32_HUMAN","ARHGAP32","Rho GTPase-activating protein 32 OS=Homo sapiens OX=9606 GN=ARHGAP32 PE=1 SV=1",0.160190254634325,0.335217363962236,-0.300668837716943,0.0140863210919734,0.175027109327911,-0.460859092351268,-0.146103933542352,-0.635886201679179,-0.321131042870263,0.314755158808916,0.366037607622046,0.0697970400784282,0.125899136680156,0.940531993579313,0.324582422130014,0.0251408145055272,0.443530657085688,0.0036699593152565,0.103915040356522,0.133355456964059,0.478259584220781,0.117991862071858,0.235941270260532,0.954355215119279,0.500249594109497,0.0568716197071298,0.576747644688155,0.0119454492322245,0.183579692584807,0.437588438631112,"n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","n.s.","down","n.s.","n.s.",0.072805309818071,0.0917240618583872,"n.s.",12.5229685806938,12.6979956900217,12.0621094883426,12.3768646471515,12.3627783260595,12.3129980692167,12.4773610140688,12.0873061131583,12.5734481077942,12.5717908734761,12.4195761665358,12.42851977254,12.6719875102234,12.6207959693169,12.579983900279,12.9175584566694,12.6736444338216,11.4443164857609,12.2083106510367,12.5337013282301,12.4332830086443,12.406333285676,12.2909776471341,0
