index,Group_Raw,Label,Signal,total,area,mean,median_background,ROI_x,ROI_y,ROI_w,ROI_h
1,1486WT,D13-0,38271208,39349688,3536,11128.305,305,1155,557,68,52
2,1486WT,D13-0,15374605,16516733,3536,4671.022,323,1133,1079,68,52
3,1486WT,D13-0,26651189,27372533,3536,7741.101,204,1089,1593,68,52
4,1486WT,D13-20,42273766,43426502,3536,12281.251,326,1229,555,68,52
5,1486WT,D13-20,13902056,14923960,3536,4220.577,289,1205,1065,68,52
6,1486WT,D13-20,30267535,31133855,3536,8804.823,245,1159,1599,68,52
7,1486WT,D13-40,40147818,41675370,3536,11786.021,432,1299,553,68,52
8,1486WT,D13-40,15636629,16874229,3536,4772.124,350,1271,1053,68,52
9,1486WT,D13-40,20805060,21674916,3536,6129.784,246,1235,1599,68,52
10,1486WT,D13-60,35304625,36563441,3536,10340.34,356,1369,543,68,52
11,1486WT,D13-60,18656259,19862035,3536,5617.091,341,1345,1043,68,52
12,1486WT,D13-60,23039908,24005236,3536,6788.811,273,1307,1599,68,52
13,1486WT,D13-80,30451033,31914937,3536,9025.717,414,1441,545,68,52
14,1486WT,D13-80,18779772,19911292,3536,5631.021,320,1413,1041,68,52
15,1486WT,D13-80,26791949,27675949,3536,7826.909,250,1381,1599,68,52
16,1486IP6,D13-0,33546590,35862670,3536,10142.158,655,1515,541,68,52
17,1486IP6,D13-0,20165420,21657612,3536,6124.89,422,1483,1041,68,52
18,1486IP6,D13-0,37021982,38553070,3536,10903.018,433,1451,1601,68,52
19,1486IP6,D13-20,35839456,38339408,3536,10842.593,707,1585,537,68,52
20,1486IP6,D13-20,19994429,21511373,3536,6083.533,429,1555,1045,68,52
21,1486IP6,D13-20,37310799,38757023,3536,10960.697,409,1527,1601,68,52
22,1486IP6,D13-40,40645457,43276241,3536,12238.756,744,1655,539,68,52
23,1486IP6,D13-40,18863935,20356127,3536,5756.823,422,1623,1045,68,52
24,1486IP6,D13-40,33048217,34773785,3536,9834.215,488,1603,1603,68,52
25,1486IP6,D13-60,34718011,36935083,3536,10445.442,627,1731,539,68,52
26,1486IP6,D13-60,18931535,20409583,3536,5771.941,418,1697,1057,68,52
27,1486IP6,D13-60,34916537,37020457,3536,10469.586,595,1677,1603,68,52
28,1486IP6,D13-80,31432271,33341711,3536,9429.217,540,1805,537,68,52
29,1486IP6,D13-80,15618108,16912284,3536,4782.886,366,1769,1065,68,52
30,1486IP6,D13-80,32214969,34195129,3536,9670.568,560,1743,1607,68,52
31,1486IP6+IP6,D13-0,32274819,33996851,3536,9614.494,487,1873,535,68,52
32,1486IP6+IP6,D13-0,16948982,18289126,3536,5172.264,379,1837,1061,68,52
33,1486IP6+IP6,D13-0,34020017,36428033,3536,10302.046,681,1819,1605,68,52
34,1486IP6+IP6,D13-20,38812235,40785323,3536,11534.311,558,1947,533,68,52
35,1486IP6+IP6,D13-20,19124622,20638030,3536,5836.547,428,1901,1051,68,52
36,1486IP6+IP6,D13-20,35650774,38101222,3536,10775.232,693,1889,1601,68,52
37,1486IP6+IP6,D13-40,39693481,41723145,3536,11799.532,574,2019,535,68,52
38,1486IP6+IP6,D13-40,20702850,22262226,3536,6295.878,441,1973,1041,68,52
39,1486IP6+IP6,D13-40,31632803,33885235,3536,9582.928,637,1963,1599,68,52
40,1486IP6+IP6,D13-60,37612283,39751563,3536,11241.958,605,2093,537,68,52
41,1486IP6+IP6,D13-60,24099197,25506525,3536,7213.384,398,2039,1033,68,52
42,1486IP6+IP6,D13-60,34574143,36656847,3536,10366.755,589,2035,1595,68,52
43,1486IP6+IP6,D13-80,40456305,42524865,3536,12026.263,585,2163,537,68,52
44,1486IP6+IP6,D13-80,27552895,28864751,3536,8163.108,371,2115,1023,68,52
45,1486IP6+IP6,D13-80,35106862,36789998,3536,10404.411,476,2107,1591,68,52
