 ,Group,Label,signal,total,area,mean,median_background,ROI_x,ROI_y,ROI_w,ROI_h,,average,SD
1,IP6,gCPD-0,31531574,37384246,2944,12698.453,1988,774,515,64,46,1,,
2,IP6,gCPD-0,29734565,34956965,3072,11379.22,1700,776,995,64,48,1,,
3,IP6,gCPD-0,20217676,26309452,3072,8564.275,1983,777,1407,64,48,1,,
1,IP6,gCPD-0,9531402,16072482,3640,4415.517,1797,633,1037,70,52,1,,
4,IP6,gCPD-20,27513501,34069149,3072,11090.218,2134,839,519,64,48,0.872569856,0.71729009,0.172866537
5,IP6,gCPD-20,15789859,20419363,3072,6646.928,1507,844,1008,64,48,0.531027072,0.703274676,0.143901427
6,IP6,gCPD-20,15128348,19217180,3072,6255.592,1331,843,1417,64,48,0.748273343,,
2,IP6,gCPD-20,6302434,11806114,3640,3243.438,1512,705,1047,70,52,0.661228432,,
7,IP6,gCPD-40,13820630,18253526,3072,5941.903,1443,901,518,64,48,0.438310818,,
8,IP6,gCPD-40,19930805,24864437,3072,8093.892,1606,907,1015,64,48,0.670290788,,
9,IP6,gCPD-40,8982924,12408204,3072,4039.129,1115,906,1423,64,48,0.444310414,,
10,IP6,gCPD-60,10005599,14100575,3072,4590.031,1333,963,524,64,48,,,
11,IP6,gCPD-60,18281065,23187049,3072,7547.868,1597,976,1018,64,48,,,
12,IP6,gCPD-60,6895396,10139428,3072,3300.595,1056,967,1427,64,48,,,
13,IP6,gCPD-80,10105848,14483448,3072,4714.664,1425,1026,531,64,48,,,
14,IP6,gCPD-80,12577740,17231820,3072,5609.316,1515,1043,1023,64,48,,,
15,IP6,gCPD-80,6439576,9634456,3072,3136.216,1040,1028,1431,64,48,,,
16,1486WT,gCPD-0,22098137,27415769,3072,8924.404,1731,1089,525,64,48,1,,
17,1486WT,gCPD-0,37657720,43678840,3072,14218.372,1960,1109,1026,64,48,1,,
18,1486WT,gCPD-0,24692221,29072893,3072,9463.832,1426,1090,1432,64,48,1,,
19,1486WT,gCPD-20,18837157,23998117,3072,7811.887,1680,1154,525,64,48,0.852431904,,
20,1486WT,gCPD-20,23117456,28395152,3072,9243.214,1718,1175,1024,64,48,0.613883581,,
21,1486WT,gCPD-20,22262961,26566833,3072,8648.058,1401,1157,1432,64,48,0.901618408,,
22,1486WT,gCPD-40,15906490,21119674,3072,6874.894,1697,1221,525,64,48,0.719811358,,
23,1486WT,gCPD-40,17455039,22572991,3072,7347.979,1666,1238,1023,64,48,0.463518211,,
24,1486WT,gCPD-40,14222030,17914574,3072,5831.567,1202,1220,1430,64,48,0.575972084,,
25,1486WT,gCPD-60,13431231,18561471,3072,6042.146,1670,1284,524,64,48,,,
26,1486WT,gCPD-60,14210138,19257434,3072,6268.696,1643,1297,1017,64,48,,,
27,1486WT,gCPD-60,12092353,15686593,3072,5106.313,1170,1287,1430,64,48,,,
28,1486WT,gCPD-80,10232926,15320158,3072,4987.031,1656,1348,527,64,48,,,
29,1486WT,gCPD-80,12649278,17831742,3072,5804.604,1687,1360,1012,64,48,,,
30,1486WT,gCPD-80,9034522,12687130,3072,4129.925,1189,1349,1434,64,48,,,
31,1486IP6,gCPD-0,45167161,54192697,3072,17640.852,2938,1409,527,64,48,,,
32,1486IP6,gCPD-0,36699281,43476113,3072,14152.381,2206,1423,1006,64,48,,,
33,1486IP6,gCPD-0,41393718,48115254,3072,15662.518,2188,1412,1432,64,48,,,
34,1486IP6,gCPD-20,29871113,45633545,3072,14854.67,5131,1472,529,64,48,,,
35,1486IP6,gCPD-20,33714913,41453281,3072,13493.907,2519,1483,1005,64,48,,,
36,1486IP6,gCPD-20,44588655,51792495,3072,16859.536,2345,1480,1432,64,48,,,
37,1486IP6,gCPD-40,36613589,44170709,3072,14378.486,2460,1537,531,64,48,,,
38,1486IP6,gCPD-40,30260107,37424011,3072,12182.295,2332,1548,1001,64,48,,,
39,1486IP6,gCPD-40,38285653,44816725,3072,14588.778,2126,1544,1434,64,48,,,
40,1486IP6,gCPD-60,35267118,42050094,3072,13688.182,2208,1602,532,64,48,,,
41,1486IP6,gCPD-60,30839404,37871212,3072,12327.868,2289,1611,1003,64,48,,,
42,1486IP6,gCPD-60,36139260,42615036,3072,13872.082,2108,1609,1442,64,48,,,
43,1486IP6,gCPD-80,36279747,43446723,3072,14142.813,2333,1666,532,64,48,,,
44,1486IP6,gCPD-80,24644976,31031664,3072,10101.453,2079,1675,1009,64,48,,,
45,1486IP6,gCPD-80,27089612,32573132,3072,10603.233,1785,1673,1445,64,48,,,
46,1486IP6+IP6,gCPD-0,38557613,45994925,3072,14972.306,2421,1727,531,64,48,,,
